Time,X_Traj,Y_Traj,X_ActPos,Y_ActPos,X_ActVelo,Y_ActVelo,XY Position X,XY Position Y
23.3,0.215296,0.161472,0.0227,0.0219,1.703954359,1.695299644,0.0227,0.0219
23.4,0.217156,0.162867,0.0233,0.0225,1.746489464,1.737920439,0.0233,0.0225
23.5,0.219024,0.164268,0.0239,0.0231,1.78860343,1.780119247,0.0239,0.0231
23.6,0.2209,0.165675,0.0245,0.0237,1.830300425,1.821900244,0.0245,0.0237
23.7,0.222784,0.167088,0.0251,0.0244,1.87158458,1.873168559,0.0251,0.0244
23.8,0.224676,0.168507,0.0258,0.0249,1.92236097,1.904127286,0.0258,0.0249
23.9,0.226576,0.169932,0.0265,0.0256,1.972634624,1.954581471,0.0265,0.0256
24,0.228484,0.171363,0.027,0.0263,2.002608538,2.00453611,0.027,0.0263
24.1,0.2304,0.1728,0.0277,0.0269,2.052087662,2.044095159,0.0277,0.0269
24.2,0.232324,0.174243,0.0284,0.0275,2.101076893,2.083262533,0.0284,0.0275
24.3,0.234256,0.175692,0.029,0.0282,2.139680092,2.131943102,0.029,0.0282
24.4,0.236196,0.177147,0.0297,0.0289,2.187802071,2.180141685,0.0297,0.0289
24.5,0.238144,0.178608,0.0304,0.0295,2.235447595,2.217962065,0.0304,0.0295
24.6,0.2401,0.180075,0.0311,0.0303,2.282621381,2.275209965,0.0311,0.0303
24.7,0.242064,0.181548,0.0319,0.031,2.33922909,2.321990064,0.0319,0.031
24.8,0.244036,0.183027,0.0326,0.0317,2.385375337,2.368306994,0.0326,0.0317
24.9,0.246016,0.184512,0.0333,0.0325,2.43106469,2.424066331,0.0333,0.0325
25,0.248004,0.186003,0.0341,0.0331,2.486202664,2.459471615,0.0341,0.0331
25.1,0.25,0.1875,0.0349,0.034,2.540794716,2.524229322,0.0349,0.034
25.2,0.252004,0.189003,0.0357,0.0348,2.594846254,2.578444873,0.0357,0.0348
25.3,0.254016,0.190512,0.0365,0.0356,2.648362628,2.632123637,0.0365,0.0356
25.4,0.256036,0.192027,0.0374,0.0365,2.711250126,2.695171918,0.0374,0.0365
25.5,0.258064,0.193548,0.0383,0.0372,2.773514977,2.737793978,0.0383,0.0372
25.6,0.2601,0.195075,0.0392,0.0382,2.835163343,2.809697008,0.0392,0.0382
25.7,0.262144,0.196608,0.0402,0.0391,2.90610232,2.870987136,0.0402,0.0391
25.8,0.264196,0.198147,0.0412,0.0401,2.976338931,2.941571422,0.0412,0.0401
25.9,0.266256,0.199692,0.0422,0.041,3.045880129,3.001555863,0.0422,0.041
26,0.268324,0.201243,0.0432,0.042,3.114732801,3.07084739,0.0432,0.042
26.1,0.2704,0.2028,0.0443,0.043,3.192804754,3.139452861,0.0443,0.043
26.2,0.272484,0.204363,0.0454,0.0441,3.270103717,3.21728006,0.0454,0.0441
26.3,0.274576,0.205932,0.0466,0.045,3.356538333,3.274534713,0.0466,0.045
26.4,0.276676,0.207507,0.0477,0.0461,3.432216172,3.351024469,0.0477,0.0461
26.5,0.278784,0.209088,0.0488,0.0471,3.507144724,3.416855909,0.0488,0.0471
26.6,0.2809,0.210675,0.05,0.0482,3.5912324,3.491936544,0.05,0.0482
26.7,0.283024,0.212268,0.0512,0.0491,3.674487525,3.546471826,0.0512,0.0491
26.8,0.285156,0.213867,0.0524,0.0502,3.756918342,3.620269134,0.0524,0.0502
26.9,0.287296,0.215472,0.0537,0.0513,3.848434002,3.693335777,0.0537,0.0513
27,0.289444,0.217083,0.0548,0.0524,3.919241586,3.765678987,0.0548,0.0524
27.1,0.2916,0.2187,0.0561,0.0534,4.009150085,3.827404937,0.0561,0.0534
27.2,0.293764,0.220323,0.0573,0.0545,4.088267411,3.89842073,0.0573,0.0545
27.3,0.295936,0.221952,0.0585,0.0556,4.166601397,3.968733396,0.0585,0.0556
27.4,0.298116,0.223587,0.0598,0.0567,4.254060789,4.038349897,0.0598,0.0567
27.5,0.300304,0.225228,0.061,0.0578,4.330753256,4.107277126,0.061,0.0578
27.6,0.3025,0.226875,0.0623,0.0588,4.416587383,4.165620917,0.0623,0.0588
27.7,0.304704,0.228528,0.0636,0.06,4.501571666,4.243189026,0.0636,0.06
27.8,0.306916,0.230187,0.0648,0.061,4.575813531,4.300187155,0.0648,0.061
27.9,0.309136,0.231852,0.0661,0.0622,4.659221317,4.376422926,0.0661,0.0622
28,0.311364,0.233523,0.0674,0.0633,4.741803285,4.442002897,0.0674,0.0633
28.1,0.3136,0.2352,0.0686,0.0645,4.813666618,4.516834551,0.0686,0.0645
28.2,0.315844,0.236883,0.0699,0.0656,4.894719424,4.581024308,0.0699,0.0656
28.3,0.318096,0.238572,0.0712,0.0668,4.974969727,4.654479513,0.0712,0.0668
28.4,0.320356,0.240267,0.0725,0.068,5.054425472,4.727207439,0.0725,0.068
28.5,0.322624,0.241968,0.0738,0.0691,5.133094527,4.789314296,0.0738,0.0691
28.6,0.3249,0.243675,0.0752,0.0704,5.22088567,4.870608213,0.0752,0.0704
28.7,0.327184,0.245388,0.0765,0.0716,5.297906604,4.941196251,0.0765,0.0716
28.8,0.329476,0.247107,0.0778,0.0728,5.374164955,5.011085397,0.0778,0.0728
